year,county,yield_bu_ac,Acres_planted,Acres_harvested,yield_kg_ha,area_planted_ha,area_harvested_ha,prod_kg
2009,OLDHAM,14,46300,17200,941.5136096,18736.94328,6960.59232,6553492.4
2009,PARMER,31.5,183000,50400,2118.405622,74057.4648,20396.15424,43207327.8
2009,PECOS,31,2200,1500,2084.780135,890.30832,607.0284,1265520.75
2009,POTTER,11.5,15600,4300,773.3861793,6313.09536,1740.14808,1345806.475
2009,RANDALL,13,104000,32400,874.2626375,42087.3024,13111.81344,11463168.6
2009,REAGAN,22.5,16000,1700,1513.146873,6474.9696,687.96552,1040992.875
2009,RED RIVER,23,8700,3200,1546.772359,3520.76472,1294.99392,2003060.8
2009,ROBERTS,19.5,10700,5600,1311.393956,4330.13592,2266.23936,2971932.6
2009,RUNNELS,14.5,126100,25800,975.1390956,51030.85416,10440.88848,10181318.55
2009,SCHLEICHER,15.5,7000,1100,1042.390068,2832.7992,445.15416,464024.275
2009,SCURRY,11,31500,2300,739.7606932,12747.5964,930.77688,688552.15
2009,SHERMAN,34,142000,120000,2286.533052,57465.3552,48562.272,111039240
2009,STONEWALL,14,33100,3700,941.5136096,13395.09336,1497.33672,1409762.9
2009,SWISHER,18.5,153600,33500,1244.142984,62159.70816,13556.9676,16866806.13
2009,TAYLOR,13.5,77800,14100,907.8881235,31484.53968,5706.06696,5180470.425
2009,TERRY,22.5,78400,20200,1513.146873,31727.35104,8174.64912,12369444.75
2009,THROCKMORTON,8.5,68200,22800,571.633263,27599.55792,9226.83168,5274363.9
2009,TOM GREEN,33.5,62000,17700,2252.907566,25090.5072,7162.93512,16137430.73
2009,UPTON,13,9900,3900,874.2626375,4006.38744,1578.27384,1379825.85
2009,UVALDE,45,13300,3700,3026.293745,5382.31848,1497.33672,4531380.75
2009,WALLER,14,700,400,941.5136096,283.27992,161.87424,152406.8
2009,WHARTON,24,8600,3100,1614.023331,3480.29616,1254.52536,2024833.2
2009,WHEELER,19,21800,5400,1277.76847,8822.14608,2185.30224,2792310.3
2009,WICHITA,12,105600,17200,807.0116654,42734.79936,6960.59232,5617279.2
2009,WILBARGER,13.5,154300,48000,907.8881235,62442.98808,19424.9088,17635644
2009,WILLIAMSON,25,16200,5000,1681.274303,6555.90672,2023.428,3401937.5
2009,WISE,16,13700,3400,1076.015554,5544.19272,1375.93104,1480523.2
2009,YOAKUM,20.5,42800,17000,1378.644928,17320.54368,6879.6552,9484601.75
2009,YOUNG,11.5,68000,14500,773.3861793,27518.6208,5867.9412,4538184.625
2009,ZAVALA,27,10900,3600,1815.776247,4411.07304,1456.86816,2645346.6
2010,ARCHER,26.6,80200,30800,1788.875858,32455.78512,12464.31648,22297114.84
2010,ARMSTRONG,35.7,62800,53600,2400.859704,25414.25568,21691.14816,52077403.56
2010,ATASCOSA,27.7,3800,2400,1862.851928,1537.80528,971.24544,1809286.44
